Timestamp,PM2.5_Fidas200,LCS3*,PM2.5_BAM1020,LCS4*
2020-04-07T15:00:00Z,8.793333333,4.006311293,7,3.947641675
2020-04-07T16:00:00Z,8.553333333,3.839204662,6,3.926841798
2020-04-07T17:00:00Z,8.131666667,3.682917885,8,4.223066156
2020-04-07T18:00:00Z,8.243333333,4.370279154,10,6.995949707
2020-04-07T19:00:00Z,12.32666667,13.11211995,10,7.936573027
2020-04-07T20:00:00Z,22.535,25.25079374,12,7.571046423
2020-04-07T21:00:00Z,19.58,23.97224768,11,7.719286472
2020-04-07T22:00:00Z,20.58166667,26.10526164,14,8.881769859
2020-04-07T23:00:00Z,19.00666667,24.66501887,17,9.652074079
2020-04-08T00:00:00Z,19.00166667,25.85279838,12,8.989326418
2020-04-08T01:00:00Z,18.80833333,24.78433782,11,9.069315807
2020-04-08T02:00:00Z,12.43,13.42980288,9,9.701725268
2020-04-08T03:00:00Z,11.20166667,11.9270454,10,11.93513875
2020-04-08T04:00:00Z,12.865,16.69168825,10,11.12622109
2020-04-08T05:00:00Z,14.14166667,18.59267646,13,12.54319069
2020-04-08T06:00:00Z,15.105,17.42864052,14,18.14614752
2020-04-08T07:00:00Z,12.605,13.5548323,21,17.15780892
2020-04-08T08:00:00Z,13.135,13.19026333,18,15.56383124
2020-04-08T09:00:00Z,12.21666667,10.83063355,20,11.44048793
2020-04-08T10:00:00Z,11.20666667,9.068199577,16,9.893759902
2020-04-08T11:00:00Z,11.27666667,9.943706083,15,6.63878138
2020-04-08T12:00:00Z,9.621666667,8.249196752,12,5.681920814
2020-04-08T13:00:00Z,8.11,7.350848333,11,6.259256498
2020-04-08T14:00:00Z,9.94,9.994198734,9,7.401599822
2020-04-08T15:00:00Z,9.623333333,9.700860474,10,6.919937419
2020-04-08T16:00:00Z,12.25833333,12.11458953,7,12.03100366
2020-04-08T17:00:00Z,10.39333333,10.90637252,18,11.37499845
2020-04-08T18:00:00Z,8.376666667,8.202010167,10,7.32056689
2020-04-08T19:00:00Z,8.115,8.585814427,16,7.798102911
2020-04-08T20:00:00Z,6.13,6.902726053,10,11.77792746
2020-04-08T21:00:00Z,8.131666667,11.08099294,13,13.27678659
2020-04-08T22:00:00Z,15.04833333,22.99425311,17,8.294305827
2020-04-08T23:00:00Z,17.87666667,26.94289865,6,6.281243425
2020-04-09T00:00:00Z,18.73166667,28.52830779,5,6.650821982
2020-04-09T01:00:00Z,18.54,28.72817454,6,6.834147865
2020-04-09T02:00:00Z,16.8,27.27470751,8,7.568456375
2020-04-09T03:00:00Z,14.935,22.87643692,8,8.831611685
2020-04-09T04:00:00Z,12.95833333,20.4705222,9,8.544811857
2020-04-09T05:00:00Z,11.60166667,17.07038314,6,9.08802505
2020-04-09T06:00:00Z,6.193333333,5.332945594,6,6.694909109
2020-04-09T07:00:00Z,6.908333333,5.711039375,8,4.201022592
2020-04-09T08:00:00Z,6.666666667,5.56947962,6,4.387386837
2020-04-09T09:00:00Z,7.425,7.36828032,5,4.608365417
2020-04-09T10:00:00Z,7.955,8.18848535,4,4.291343075
2020-04-09T11:00:00Z,9.636666667,11.22804988,4,4.215622251
2020-04-09T12:00:00Z,11.04333333,13.78295088,5,4.133237517
2020-04-09T13:00:00Z,10.04833333,11.75512994,4,3.74699928
2020-04-09T14:00:00Z,10.79666667,13.4748856,4,4.066744153
2020-04-09T15:00:00Z,11.55666667,13.15119164,6,3.528000852
2020-04-09T16:00:00Z,14.15,20.12248357,4,4.219656367
2020-04-09T17:00:00Z,17.72666667,23.94068977,3,4.411174212
2020-04-09T18:00:00Z,17.26666667,23.21666122,4,6.204441536
2020-04-09T19:00:00Z,19.255,26.87587567,7,6.179667161
2020-04-09T20:00:00Z,22.59833333,30.80949364,11,7.288373451
2020-04-09T21:00:00Z,24.505,32.01320238,7,7.376832544
2020-04-09T22:00:00Z,25.185,31.19149459,6,7.343804932
2020-04-09T23:00:00Z,24.32166667,29.78701745,8,8.796457244
2020-04-10T00:00:00Z,25.575,32.67261236,6,13.27635322
2020-04-10T01:00:00Z,25.71,34.10383858,8,19.64528869
2020-04-10T02:00:00Z,23.63833333,32.63293956,16,22.16728698
2020-04-10T03:00:00Z,21.475,31.27745232,17,22.46665845
2020-04-10T04:00:00Z,20.20333333,30.09147612,22,29.0087506
2020-04-10T05:00:00Z,19.81666667,29.99019027,31,29.00112873
2020-04-10T06:00:00Z,20.03,29.26135289,27,22.64794099
2020-04-10T07:00:00Z,20.24666667,28.29628204,23,22.78541379
2020-04-10T08:00:00Z,21.42833333,28.30018921,20,26.7618059
2020-04-10T09:00:00Z,22.54166667,28.34737579,21,24.71209534
2020-04-10T10:00:00Z,23.66,28.85891444,20,22.38955585
2020-04-10T11:00:00Z,24.15333333,28.11835555,22,22.54663939
2020-04-10T12:00:00Z,24.45833333,27.60321029,22,21.14700003
2020-04-10T13:00:00Z,23.60833333,26.74693908,21,21.25735454
2020-04-10T14:00:00Z,23.04833333,26.91855398,20,21.81570282
2020-04-10T15:00:00Z,25.64,30.14948256,20,22.16374825
2020-04-10T16:00:00Z,25.58833333,30.28533183,23,20.41394349
2020-04-10T17:00:00Z,25.32666667,30.21530334,23,17.32824252
