Timestamp,PM2.5_Fidas200,LCS3,PM2.5_BAM1020,LCS4
4/9/2020 12:00,11.04333333,16.59066667,5,6.749310345
4/9/2020 13:00,10.04833333,14.34166667,4,6.004642857
4/9/2020 14:00,10.79666667,16.249,4,6.621111111
4/9/2020 15:00,11.55666667,15.89,6,5.582413793
4/9/2020 16:00,14.15,23.62166667,4,6.915925926
4/9/2020 17:00,17.72666667,27.85633333,3,7.285172414
4/9/2020 18:00,17.26666667,27.05333333,4,10.74259259
4/9/2020 19:00,19.255,31.11166667,7,10.69482759
4/9/2020 20:00,22.59833333,35.47433333,11,12.83241379
4/9/2020 21:00,24.505,36.80933333,7,13.00296296
4/9/2020 22:00,25.185,35.898,6,12.93928571
4/9/2020 23:00,24.32166667,34.34033333,8,15.74
4/10/2020 0:00,25.575,37.54066667,6,24.37724138
4/10/2020 1:00,25.71,39.128,8,36.65655172
4/10/2020 2:00,23.63833333,37.49666667,16,41.51896552
4/10/2020 3:00,21.475,35.99333333,17,42.09615385
4/10/2020 4:00,20.20333333,34.678,22,54.70931034
4/10/2020 5:00,19.81666667,34.56566667,31,54.69461538
4/10/2020 6:00,20.03,33.75733333,27,42.44566667
4/10/2020 7:00,20.24666667,32.687,23,42.71071429
4/10/2020 8:00,21.42833333,32.69133333,20,50.3772
4/10/2020 9:00,22.54166667,32.74366667,21,46.42535714
4/10/2020 10:00,23.66,33.311,20,41.9475
4/10/2020 11:00,24.15333333,32.48966667,22,42.25035714
4/10/2020 12:00,24.45833333,31.91833333,22,39.55185185
4/10/2020 13:00,23.60833333,30.96866667,21,39.76461538
4/10/2020 14:00,23.04833333,31.159,20,40.84111111
4/10/2020 15:00,25.64,34.74233333,20,41.51214286
4/10/2020 16:00,25.58833333,34.893,23,38.13851852
4/10/2020 17:00,25.32666667,34.81533333,23,32.18928571
4/10/2020 18:00,24.51166667,34.476,21,28.92535714
4/10/2020 19:00,27.195,36.50866667,21,26.19321429
4/10/2020 20:00,30.03,39.089,23,28.76928571
4/10/2020 21:00,25.49666667,36.18333333,20,28.14392857
4/10/2020 22:00,21.3,34.72033333,27,29.05
4/10/2020 23:00,22.20166667,37.391,18,26.96571429
4/11/2020 0:00,22.00333333,35.37366667,17,29.43777778
4/11/2020 1:00,21.14,33.23166667,18,27.19766667
4/11/2020 2:00,22.85166667,34.68266667,15,23.54384615
4/11/2020 3:00,23.9,36.001,12,22.98758621
4/11/2020 4:00,25.37833333,39.104,13,26.19481481
4/11/2020 5:00,26.38833333,40.86133333,15,30.85344828
4/11/2020 6:00,27.49833333,40.90366667,16,36.53896552
4/11/2020 7:00,27.88833333,39.402,21,40.2975
4/11/2020 8:00,29.38166667,39.76433333,23,43.54448276
4/11/2020 9:00,34.17166667,42.98483871,23,46.96310345
4/11/2020 10:00,37.05166667,45.311,24,56.01172414
4/11/2020 11:00,49.61333333,55.04266667,27,60.10846154
4/11/2020 12:00,48.345,51.15533333,28,58.11482759
4/11/2020 13:00,22.67833333,32.15866667,26,50.15428571
4/11/2020 14:00,13.36,20.126,19,24.04222222
4/11/2020 15:00,6.746666667,8.811333333,15,14.36464286
4/11/2020 16:00,6.408333333,9.544666667,8,7.903571429
4/11/2020 17:00,7.766666667,12.13,4,7.515517241
4/11/2020 18:00,7.448333333,12.348,3,9.171851852
4/11/2020 19:00,8.87,16.65666667,3,25.05344828
4/11/2020 20:00,7.715,14.78166667,14,13.9837037
4/11/2020 21:00,9.233333333,19.24733333,11,19.02689655
4/11/2020 22:00,11.105,24,13,21.34448276
4/11/2020 23:00,20.885,39.08,9,23.89928571
4/12/2020 0:00,20.335,39.663,11,24.15103448
4/12/2020 1:00,19.54833333,38.846,11,24.51296296
4/12/2020 2:00,16.075,33.94533333,11,25.05571429
4/12/2020 3:00,15.92333333,33.18133333,12,29.46068966
4/12/2020 4:00,17.57,35.297,12,36.355
4/12/2020 5:00,17.35,34.21633333,21,35.31407407
4/12/2020 6:00,17.02166667,34.17666667,17,33.98407407
4/12/2020 7:00,18.22833333,35.00633333,18,45.50482759
4/12/2020 8:00,19.00833333,33.373,21,38.43714286
4/12/2020 9:00,17.69666667,31.15266667,14,41.0775
4/12/2020 10:00,16.27333333,29.227,18,40.3575
4/12/2020 11:00,15.97833333,28.10833333,15,26.59785714
4/12/2020 12:00,13.38666667,22.76633333,13,18.50172414
4/12/2020 13:00,11.74333333,20.158,13,10.20517241
4/12/2020 14:00,13.01666667,22.60466667,8,7.806206897
4/12/2020 15:00,17.11833333,28.90666667,5,3.411785714
4/12/2020 16:00,13.725,23.161,3,2.985357143
4/12/2020 17:00,9.066666667,15.923,5,7.609655172
4/12/2020 18:00,5.455,6.626333333,4,5.967241379
4/12/2020 19:00,6.041666667,6.899666667,6,5.057777778
4/12/2020 20:00,7.265,4.601666667,9,3.967666667
